,Name,Wage,Value,Difference
55,L. Sané,195000.0,61000000.0,60805000.0
56,Bernardo Silva,180000.0,59500000.0,59320000.0
57,Ederson,125000.0,41500000.0,41375000.0
58,S. Mané,195000.0,52000000.0,51805000.0
59,V. van Dijk,165000.0,44500000.0,44335000.0
60,R. Sterling,195000.0,56500000.0,56305000.0
61,Roberto Firmino,195000.0,53000000.0,52805000.0
62,R. Varane,210000.0,50000000.0,49790000.0
63,M. Verratti,135000.0,55000000.0,54865000.0
64,Alex Sandro,160000.0,36500000.0,36340000.0
65,Douglas Costa,175000.0,46500000.0,46325000.0
66,T. Müller,135000.0,45000000.0,44865000.0
67,Thiago,130000.0,45500000.0,45370000.0
68,M. Reus,100000.0,43500000.0,43400000.0
69,Azpilicueta,175000.0,35000000.0,34825000.0
70,L. Bonucci,160000.0,30000000.0,29840000.0
71,T. Alderweireld,150000.0,39000000.0,38850000.0
72,M. Pjanić,180000.0,44000000.0,43820000.0
73,M. Benatia,160000.0,30000000.0,29840000.0
74,M. Özil,190000.0,43500000.0,43310000.0
75,Fernandinho,185000.0,18000000.0,17815000.0
76,Iniesta,21000.0,21500000.0,21479000.0
77,M. Škriniar,82000.0,46500000.0,46418000.0
78,S. Milinković-Savić,73000.0,50500000.0,50427000.0
79,Marco Asensio,215000.0,54000000.0,53785000.0
80,N. Fekir,92000.0,50000000.0,49908000.0
81,Alisson,115000.0,36500000.0,36385000.0
82,J. Kimmich,92000.0,40500000.0,40408000.0
83,Saúl,77000.0,50500000.0,50423000.0
84,R. Mahrez,205000.0,40500000.0,40295000.0
85,D. Alaba,110000.0,38000000.0,37890000.0
86,Koke,88000.0,45000000.0,44912000.0
87,A. Lacazette,180000.0,45000000.0,44820000.0
88,K. Manolas,96000.0,37500000.0,37404000.0
89,N. Otamendi,170000.0,28500000.0,28330000.0
90,Parejo,66000.0,37000000.0,36934000.0
91,Paulinho,235000.0,37000000.0,36765000.0
92,W. Szczęsny,125000.0,32000000.0,31875000.0
93,A. Sánchez,215000.0,37500000.0,37285000.0
94,Y. Brahimi,28000.0,39000000.0,38972000.0
95,J. Boateng,115000.0,30000000.0,29885000.0
96,A. Vidal,205000.0,26000000.0,25795000.0
97,I. Perišić,110000.0,37500000.0,37390000.0
98,E. Džeko,115000.0,30500000.0,30385000.0
99,S. Khedira,160000.0,33000000.0,32840000.0
100,Diego Costa,100000.0,38500000.0,38400000.0
101,R. Nainggolan,105000.0,35500000.0,35395000.0
102,Naldo,38000.0,9000000.0,8962000.0
103,B. Matuidi,145000.0,26000000.0,25855000.0
104,Miranda,96000.0,15500000.0,15404000.0
105,K. Benzema,240000.0,37000000.0,36760000.0
106,Filipe Luís,81000.0,21500000.0,21419000.0
107,V. Kompany,170000.0,22000000.0,21830000.0
108,Pepe,57000.0,9000000.0,8943000.0
109,Z. Ibrahimović,15000.0,14000000.0,13985000.0
110,D. Sánchez,105000.0,34000000.0,33895000.0
111,J. Giménez,63000.0,34000000.0,33937000.0
112,Alex Telles,22000.0,32000000.0,31978000.0
113,A. Laporte,135000.0,34000000.0,33865000.0
114,Bruno Fernandes,22000.0,40500000.0,40478000.0
115,N. Süle,84000.0,36500000.0,36416000.0
116,A. Martial,165000.0,42500000.0,42335000.0
117,D. Alli,115000.0,42500000.0,42385000.0
118,Fabinho,120000.0,34000000.0,33880000.0
119,Marquinhos,90000.0,35500000.0,35410000.0
120,William Carvalho,38000.0,31500000.0,31462000.0
121,Jorginho,155000.0,38000000.0,37845000.0
122,F. Thauvin,72000.0,39000000.0,38928000.0
123,Carvajal,185000.0,31500000.0,31315000.0
124,M. Depay,93000.0,42000000.0,41907000.0
125,H. Son,125000.0,37000000.0,36875000.0
126,A. Lopes,72000.0,25000000.0,24928000.0
127,S. de Vrij,88000.0,31500000.0,31412000.0
128,M. Perin,105000.0,29500000.0,29395000.0
129,J. Cuadrado,150000.0,29500000.0,29350000.0
130,Iago Aspas,45000.0,30000000.0,29955000.0
131,B. Leno,115000.0,27000000.0,26885000.0
132,N. Matić,165000.0,24000000.0,23835000.0
133,L. Hrádecký,74000.0,22000000.0,21926000.0
134,Illarramendi,51000.0,31000000.0,30949000.0
135,K. Walker,165000.0,24500000.0,24335000.0
136,I. Gündoğan,175000.0,32000000.0,31825000.0
137,José Callejón,105000.0,27500000.0,27395000.0
138,A. Di María,125000.0,29500000.0,29375000.0
139,M. Mandžukić,160000.0,25000000.0,24840000.0
140,Willian,175000.0,30500000.0,30325000.0
141,Sergio Asenjo,42000.0,24000000.0,23958000.0
142,E. Banega,31000.0,29000000.0,28969000.0
143,A. Witsel,77000.0,24000000.0,23923000.0
144,D. Payet,75000.0,27500000.0,27425000.0
145,Jonas,25000.0,16500000.0,16475000.0
146,Sokratis,140000.0,23000000.0,22860000.0
147,S. Ruffier,41000.0,19000000.0,18959000.0
148,Falcao,115000.0,25000000.0,24885000.0
149,K. Schmeichel,78000.0,19000000.0,18922000.0
150,Raúl Albiol,88000.0,18000000.0,17912000.0
151,A. Gómez,53000.0,30000000.0,29947000.0
152,A. Barzagli,95000.0,4200000.0,4105000.0
153,Quaresma,80000.0,15500000.0,15420000.0
154,A. Robben,110000.0,15500000.0,15390000.0
155,O. Dembélé,155000.0,40000000.0,39845000.0
156,Gabriel Jesus,130000.0,41000000.0,40870000.0
157,Ronaldo Cabrais,51000.0,28000000.0,27949000.0
158,Josué Chiamulera,43000.0,22500000.0,22457000.0
159,Louri Beretta,60000.0,28500000.0,28440000.0
160,P. Kimpembe,82000.0,30500000.0,30418000.0
161,N. Keïta,120000.0,34000000.0,33880000.0
162,C. Tolisso,85000.0,34000000.0,33915000.0
163,T. Lemar,64000.0,35500000.0,35436000.0
164,K. Coman,85000.0,34000000.0,33915000.0
165,J. Tah,67000.0,29500000.0,29433000.0
166,Anderson Talisca,18000.0,36500000.0,36482000.0
167,T. Werner,70000.0,34500000.0,34430000.0
168,A. Rabiot,91000.0,33000000.0,32909000.0
169,L. Goretzka,85000.0,34000000.0,33915000.0
170,Q. Promes,28000.0,30500000.0,30472000.0
171,H. Ziyech,28000.0,32500000.0,32472000.0
172,Lucas Vázquez,205000.0,27000000.0,26795000.0
173,Y. Carrasco,20000.0,33000000.0,32980000.0
174,Gerard Moreno,53000.0,32000000.0,31947000.0
175,Felipe,22000.0,20000000.0,19978000.0
176,M. Kovačić,165000.0,35000000.0,34835000.0
177,Kepa,84000.0,28500000.0,28416000.0
178,Manu Trigueros,49000.0,30000000.0,29951000.0
179,S. Gnabry,85000.0,34500000.0,34415000.0
180,J. Pickford,78000.0,25000000.0,24922000.0
181,S. Savić,67000.0,26000000.0,25933000.0
182,J. Stones,125000.0,28500000.0,28375000.0
183,Suso,115000.0,33000000.0,32885000.0
184,J. Draxler,91000.0,32500000.0,32409000.0
185,Felipe Anderson,110000.0,31500000.0,31390000.0
186,Lucas Moura,115000.0,31000000.0,30885000.0
187,Danilo Pereira,21000.0,27000000.0,26979000.0
188,Nacho Fernández,180000.0,24500000.0,24320000.0
189,T. Horn,25000.0,24000000.0,23975000.0
190,Allan,87000.0,26500000.0,26413000.0
191,F. Acerbi,64000.0,19000000.0,18936000.0
192,Sergi Roberto,170000.0,26500000.0,26330000.0
193,Rodrigo,57000.0,30500000.0,30443000.0
194,Pizzi,22000.0,25500000.0,25478000.0
195,K. Kampl,74000.0,26500000.0,26426000.0
196,Neto,41000.0,21000000.0,20959000.0
197,O. Baumann,42000.0,21000000.0,20958000.0
198,I. Gueye,125000.0,21000000.0,20875000.0
199,H. Mkhitaryan,145000.0,25500000.0,25355000.0
200,Marcos Alonso,130000.0,24000000.0,23870000.0
201,D. Subašić,70000.0,13000000.0,12930000.0
202,K. Glik,86000.0,19000000.0,18914000.0
203,K. Strootman,66000.0,21000000.0,20934000.0
204,B. Dost,26000.0,26000000.0,25974000.0
205,Oscar,29000.0,30500000.0,30471000.0
206,M. Balotelli,55000.0,27500000.0,27445000.0
207,Luiz Gustavo,63000.0,19000000.0,18937000.0
208,Giuliano,64000.0,26000000.0,25936000.0
209,David Luiz,130000.0,17500000.0,17370000.0
210,R. Fährmann,38000.0,20000000.0,19962000.0
211,Juan Mata,160000.0,24500000.0,24340000.0
212,Adán,55000.0,15500000.0,15445000.0
213,Rui Patrício,74000.0,16500000.0,16426000.0
214,Y. Sommer,35000.0,20000000.0,19965000.0
215,Javi Martínez,94000.0,20000000.0,19906000.0
216,L. Bender,82000.0,20000000.0,19918000.0
217,Lucas Leiva,64000.0,17500000.0,17436000.0
218,S. Mandanda,51000.0,13000000.0,12949000.0
219,Cesc Fàbregas,140000.0,22000000.0,21860000.0
220,M. Dembélé,120000.0,24000000.0,23880000.0
221,F. Ribéry,72000.0,11500000.0,11428000.0
222,R. Jarstein,33000.0,13000000.0,12967000.0
223,D. De Rossi,80000.0,8000000.0,7920000.0
224,Pepe Reina,56000.0,6000000.0,5944000.0
225,J. Pavlenka,30000.0,19500000.0,19470000.0
226,M. de Ligt,11000.0,27000000.0,26989000.0
227,Rodri,59000.0,29000000.0,28941000.0
228,Arthur,125000.0,32500000.0,32375000.0
229,G. Donnarumma,23000.0,29000000.0,28977000.0
230,Rosberto Dourado,46000.0,16500000.0,16454000.0
231,Juiano Mestres,39000.0,6500000.0,6461000.0
232,Raphaelito Anjos,32000.0,14000000.0,13968000.0
233,Gelson Martins,59000.0,29500000.0,29441000.0
234,Gonçalo Guedes,36000.0,29000000.0,28964000.0
235,L. Torreira,98000.0,25000000.0,24902000.0
236,Malcom,140000.0,31500000.0,31360000.0
237,Pau López,21000.0,21500000.0,21479000.0
238,L. Hernández,53000.0,25500000.0,25447000.0
239,C. Lenglet,135000.0,26000000.0,25865000.0
240,A. Kramarić,54000.0,26000000.0,25946000.0
241,A. Robertson,98000.0,24500000.0,24402000.0
242,Dani García,33000.0,20000000.0,19967000.0
243,F. Bernardeschi,110000.0,29500000.0,29390000.0
244,J. Brandt,68000.0,30500000.0,30432000.0
245,D. Rugani,95000.0,24500000.0,24405000.0
246,Samu Castillejo,94000.0,29000000.0,28906000.0
247,João Cancelo,95000.0,25500000.0,25405000.0
248,A. Romagnoli,84000.0,26500000.0,26416000.0
249,T. Partey,59000.0,25500000.0,25441000.0
250,Fred,140000.0,26500000.0,26360000.0
251,J. Vardy,96000.0,20000000.0,19904000.0
252,A. Belotti,58000.0,30000000.0,29942000.0
253,E. Forsberg,67000.0,26000000.0,25933000.0
254,J. Lingard,140000.0,26500000.0,26360000.0
255,F. Vázquez,27000.0,21500000.0,21473000.0
256,E. Višća,40000.0,22500000.0,22460000.0
257,A. Rüdiger,110000.0,22500000.0,22390000.0
258,A. Florenzi,73000.0,20500000.0,20427000.0
259,H. Maguire,77000.0,23500000.0,23423000.0
260,T. Meunier,87000.0,21000000.0,20913000.0
261,S. Sané,41000.0,18500000.0,18459000.0
262,G. Kondogbia,46000.0,27500000.0,27454000.0
263,Rafinha,165000.0,29500000.0,29335000.0
264,Gabriel Paulista,44000.0,21000000.0,20956000.0
265,Morata,135000.0,28500000.0,28365000.0
266,J. Cillessen,135000.0,18000000.0,17865000.0
267,W. Ben Yedder,28000.0,23500000.0,23472000.0
268,C. Bakambu,33000.0,26000000.0,25967000.0
269,Pablo Sarabia,26000.0,26000000.0,25974000.0
270,W. Zaha,78000.0,28500000.0,28422000.0
271,Luis Alberto,67000.0,28500000.0,28433000.0
272,Jonathan Viera,31000.0,22500000.0,22469000.0
273,Bartra,32000.0,21000000.0,20968000.0
274,S. Coates,19000.0,21000000.0,20981000.0
275,Willian José,44000.0,26500000.0,26456000.0
276,Mário Fernandes,1000.0,18500000.0,18499000.0
277,Víctor Ruiz,43000.0,19500000.0,19457000.0
278,T. Delaney,61000.0,21500000.0,21439000.0
279,K. Casteels,46000.0,19500000.0,19454000.0
280,M. Götze,67000.0,27000000.0,26933000.0
281,S. Mustafi,115000.0,22500000.0,22385000.0
282,J. Pastore,84000.0,21500000.0,21416000.0
283,Pedro,140000.0,21000000.0,20860000.0
284,G. Bonaventura,115000.0,22000000.0,21885000.0
285,R. Bürki,50000.0,18500000.0,18450000.0
286,Taison,1000.0,21000000.0,20999000.0
287,S. Nzonzi,77000.0,17000000.0,16923000.0
288,Marlos,1000.0,21000000.0,20999000.0
289,A. Ramsey,130000.0,25000000.0,24870000.0
290,K. Trippier,99000.0,18500000.0,18401000.0
291,A. Kolarov,73000.0,12500000.0,12427000.0
292,G. Sigurðsson,125000.0,22500000.0,22375000.0
293,S. Giovinco,15000.0,20000000.0,19985000.0
294,M. Arnautović,120000.0,22000000.0,21880000.0
295,N. Gaitán,22000.0,21000000.0,20978000.0
296,J. Henderson,125000.0,18000000.0,17875000.0
297,M. Kruse,45000.0,21500000.0,21455000.0
298,M. Parolo,59000.0,9000000.0,8941000.0
299,L. Fejsa,18000.0,17000000.0,16982000.0
300,A. Rami,57000.0,12500000.0,12443000.0
301,V. Ćorluka,1000.0,12500000.0,12499000.0
302,G. Wijnaldum,130000.0,23000000.0,22870000.0
303,F. Fazio,73000.0,15000000.0,14927000.0
304,O. Giroud,140000.0,20000000.0,19860000.0
305,Marcano,73000.0,15000000.0,14927000.0
306,A. Guardado,35000.0,19000000.0,18965000.0
307,E. Garay,44000.0,15000000.0,14956000.0
308,Jardel,17000.0,12500000.0,12483000.0
309,S. Sirigu,45000.0,13500000.0,13455000.0
310,E. Viviano,15000.0,12500000.0,12485000.0
311,L. Koscielny,115000.0,12500000.0,12385000.0
312,A. Consigli,52000.0,13500000.0,13448000.0
313,L. Biglia,98000.0,12500000.0,12402000.0
314,Dani Alves,62000.0,4800000.0,4738000.0
315,David Villa,12000.0,8000000.0,7988000.0
316,Aduriz,29000.0,8000000.0,7971000.0
317,P. Čech,60000.0,3000000.0,2940000.0
318,Casillas,10000.0,1500000.0,1490000.0
319,M. Rashford,110000.0,27000000.0,26890000.0
320,Laure Santeiro,40000.0,17000000.0,16960000.0
321,L. Bailey,54000.0,26500000.0,26446000.0
322,M. Akanji,49000.0,21000000.0,20951000.0
323,F. de Jong,19000.0,26000000.0,25981000.0
324,Nélson Semedo,125000.0,20000000.0,19875000.0
325,Pablo Fornals,36000.0,24000000.0,23964000.0
326,Fabián,64000.0,26000000.0,25936000.0
327,E. Bailly,105000.0,21000000.0,20895000.0
328,Dani Ceballos,120000.0,25000000.0,24880000.0
329,H. Lozano,22000.0,24000000.0,23978000.0
330,Morales,33000.0,17000000.0,16967000.0
331,J. Seri,73000.0,20500000.0,20427000.0
332,M. Politano,57000.0,22500000.0,22443000.0
333,M. Brozović,64000.0,18500000.0,18436000.0
334,Williams,31000.0,24500000.0,24469000.0
335,A. Correa,54000.0,24500000.0,24446000.0
336,A. Christensen,91000.0,21500000.0,21409000.0
337,João Mário,71000.0,22500000.0,22429000.0
338,T. Strakosha,36000.0,17000000.0,16964000.0
339,E. Hysaj,58000.0,20000000.0,19942000.0
340,P. Zieliński,64000.0,24500000.0,24436000.0
341,Ricardo Pereira,64000.0,19000000.0,18936000.0
342,Grimaldo,14000.0,20500000.0,20486000.0
343,R. Guerreiro,54000.0,24000000.0,23946000.0
344,A. Doucouré,60000.0,19500000.0,19440000.0
345,J. Martínez,14000.0,22500000.0,22486000.0
346,C. Bacca,45000.0,16000000.0,15955000.0
347,A. Plea,40000.0,22000000.0,21960000.0
348,B. Davies,87000.0,18500000.0,18413000.0
349,M. Nastasić,36000.0,18500000.0,18464000.0
350,A. Milik,71000.0,25500000.0,25429000.0
351,M. Sabitzer,54000.0,22500000.0,22446000.0
352,B. Mendy,105000.0,20000000.0,19895000.0
353,C. Kramer,35000.0,17000000.0,16965000.0
354,S. Vrsaljko,57000.0,18000000.0,17943000.0
355,T. Hazard,40000.0,21500000.0,21460000.0
356,K. Bellarabi,76000.0,18000000.0,17924000.0
357,S. Zaza,48000.0,21000000.0,20952000.0
358,F. Ghoulam,68000.0,16500000.0,16432000.0
359,B. Lecomte,27000.0,15000000.0,14973000.0
360,J. Iličić,41000.0,17000000.0,16959000.0
361,K. Volland,76000.0,22000000.0,21924000.0
362,Paco Alcácer,59000.0,23500000.0,23441000.0
363,Vitolo,65000.0,18000000.0,17935000.0
364,G. Xhaka,115000.0,22000000.0,21885000.0
365,D. Tadić,26000.0,17500000.0,17474000.0
366,C. Aránguiz,76000.0,17000000.0,16924000.0
367,S. Verdi,77000.0,19500000.0,19423000.0
368,D. Lovren,115000.0,16000000.0,15885000.0
369,G. Medel,56000.0,13000000.0,12944000.0
370,X. Shaqiri,130000.0,19000000.0,18870000.0
371,J. Corona,18000.0,21500000.0,21482000.0
372,A. Areola,61000.0,16500000.0,16439000.0
373,K. Vogt,42000.0,17500000.0,17458000.0
374,Ander Herrera,140000.0,17500000.0,17360000.0
375,E. Salvio,19000.0,18500000.0,18481000.0
376,S. El Shaarawy,77000.0,21000000.0,20923000.0
377,C. Smalling,130000.0,16000000.0,15870000.0
378,Hulk,25000.0,15500000.0,15475000.0
379,S. Kagawa,65000.0,17500000.0,17435000.0
380,M. Lanzini,90000.0,23000000.0,22910000.0
381,F. Smolov,1000.0,18500000.0,18499000.0
382,L. Stindl,43000.0,18000000.0,17957000.0
383,O. Toprak,59000.0,16000000.0,15941000.0
384,D. Perotti,84000.0,17500000.0,17416000.0
385,F. Muslera,52000.0,10000000.0,9948000.0
386,B. Höwedes,1000.0,13000000.0,12999000.0
387,S. Kjær,23000.0,14000000.0,13977000.0
388,S. Bender,69000.0,14000000.0,13931000.0
389,M. Valbuena,86000.0,11000000.0,10914000.0
390,Pedro León,32000.0,15500000.0,15468000.0
391,K. Boateng,65000.0,15000000.0,14935000.0
392,L. Piszczek,57000.0,7000000.0,6943000.0
393,A. Candreva,74000.0,15500000.0,15426000.0
394,D. Wass,46000.0,17000000.0,16954000.0
395,E. Lamela,105000.0,21000000.0,20895000.0
396,D. Rose,92000.0,14500000.0,14408000.0
397,C. Vela,15000.0,17500000.0,17485000.0
398,Renato Augusto,28000.0,16500000.0,16472000.0
399,A. Valencia,120000.0,10000000.0,9880000.0
400,L. Fabiański,70000.0,9000000.0,8930000.0
401,João Moutinho,85000.0,15000000.0,14915000.0
402,Borja Valero,74000.0,11000000.0,10926000.0
403,F. Quagliarella,39000.0,8000000.0,7961000.0
404,B. Gomis,56000.0,14000000.0,13944000.0
405,Manuel Fernandes,1000.0,14000000.0,13999000.0
406,H. Herrera,20000.0,17500000.0,17480000.0
407,Raffael,41000.0,11000000.0,10959000.0
408,Nani,19000.0,15500000.0,15481000.0
409,J. Milner,120000.0,13500000.0,13380000.0
410,J. Mathieu,18000.0,5500000.0,5482000.0
411,Joaquín,24000.0,6000000.0,5976000.0
412,M. Gómez,25000.0,20500000.0,20475000.0
413,K. Havertz,32000.0,22000000.0,21968000.0
414,T. Ndombele,51000.0,22500000.0,22449000.0
415,H. Aouar,51000.0,23500000.0,23449000.0
416,Carlos Soler,31000.0,21000000.0,20969000.0
417,Odriozola,115000.0,18500000.0,18385000.0
418,M. Almirón,11000.0,19500000.0,19489000.0
419,Welington Dano,34000.0,10500000.0,10466000.0
420,Everton Andrão,34000.0,4500000.0,4466000.0
421,Oyarzabal,29000.0,21000000.0,20971000.0
422,F. Balbuena,80000.0,15500000.0,15420000.0
423,M. Marega,19000.0,16000000.0,15981000.0
424,B. Pavard,33000.0,17500000.0,17467000.0
425,W. Ndidi,50000.0,17000000.0,16950000.0
426,A. Onana,14000.0,14500000.0,14486000.0
427,G. Lo Celso,72000.0,20000000.0,19928000.0
428,M. Acuña,16000.0,12500000.0,12484000.0
429,Rúben Neves,59000.0,20500000.0,20441000.0
430,Mariano,140000.0,20000000.0,19860000.0
431,Raúl,19000.0,12000000.0,11981000.0
432,M. Caldara,73000.0,17500000.0,17427000.0
433,M. Vecino,63000.0,14500000.0,14437000.0
434,T. Bakayoko,85000.0,17000000.0,16915000.0
435,M. Dahoud,50000.0,20000000.0,19950000.0
436,Rafa,17000.0,18500000.0,18483000.0
437,K. Baldé,65000.0,20000000.0,19935000.0
438,G. Rulli,26000.0,14000000.0,13974000.0
439,F. Armani,22000.0,9000000.0,8978000.0
440,Rony Lopes,65000.0,20000000.0,19935000.0
441,Santi Mina,40000.0,20000000.0,19960000.0
442,K. Demirbay,37000.0,19500000.0,19463000.0
443,Gayà,33000.0,16500000.0,16467000.0
444,André Gomes,130000.0,19500000.0,19370000.0
445,N. Tagliafico,20000.0,15000000.0,14980000.0
446,M. Sanson,47000.0,19500000.0,19453000.0
447,Pacheco,23000.0,13000000.0,12977000.0
448,E. Can,91000.0,19500000.0,19409000.0
449,H. Çalhanoğlu,89000.0,19500000.0,19411000.0
450,M. Ginter,28000.0,15500000.0,15472000.0
451,M. Keane,88000.0,15500000.0,15412000.0
452,L. Paredes,0.0,0.0,0.0
453,T. Stepanenko,1000.0,12000000.0,11999000.0
454,L. Shaw,96000.0,16500000.0,16404000.0
455,Z. Feddal,29000.0,12000000.0,11971000.0
456,S. Haller,41000.0,19000000.0,18959000.0
457,Bernard,97000.0,17500000.0,17403000.0
458,T. Inui,30000.0,14000000.0,13970000.0
459,Portu,37000.0,17500000.0,17463000.0
460,M. Batshuayi,105000.0,19500000.0,19395000.0
461,E. Zahavi,24000.0,14500000.0,14476000.0
462,T. Vaclík,17000.0,11500000.0,11483000.0
463,N. Pope,48000.0,13000000.0,12952000.0
464,Héctor Bellerín,85000.0,16500000.0,16415000.0
465,P. Kadeřábek,39000.0,14000000.0,13961000.0
466,J. Butland,39000.0,14000000.0,13961000.0
467,J. Vestergaard,51000.0,14500000.0,14449000.0
468,J. Tarkowski,56000.0,15500000.0,15444000.0
469,Deulofeu,56000.0,18500000.0,18444000.0
470,E. Dier,73000.0,16500000.0,16427000.0
471,J. Murillo,38000.0,16000000.0,15962000.0
472,M. Badelj,53000.0,11500000.0,11447000.0
473,Ismaily,1000.0,11500000.0,11499000.0
474,N. Schulz,37000.0,14500000.0,14463000.0
475,L. Digne,79000.0,16000000.0,15921000.0
476,M. Uth,42000.0,17500000.0,17458000.0
477,Cristian Tello,30000.0,16000000.0,15970000.0
478,D. Vida,55000.0,11500000.0,11445000.0
479,L. Muriel,24000.0,17500000.0,17476000.0
480,V. Aboubakar,19000.0,18000000.0,17981000.0
481,A. Oxlade-Chamberlain,94000.0,19500000.0,19406000.0
482,S. Aurier,82000.0,15500000.0,15418000.0
483,J. Matip,99000.0,15000000.0,14901000.0
484,Y. Rakitskyi,1000.0,12000000.0,11999000.0
485,Sergi Enrich,34000.0,15500000.0,15466000.0
486,A. Yarmolenko,92000.0,15000000.0,14908000.0
487,Hugo Mallo,27000.0,13500000.0,13473000.0
488,André Almeida,15000.0,12000000.0,11985000.0
489,D. Didavi,44000.0,15000000.0,14956000.0
490,R. Rodríguez,81000.0,15500000.0,15419000.0
491,R. Pereyra,65000.0,15500000.0,15435000.0
492,Mario Gaspar,35000.0,12000000.0,11965000.0
493,Maicon,63000.0,11500000.0,11437000.0
494,D. Blind,22000.0,12000000.0,11978000.0
495,J. Zoet,16000.0,12500000.0,12484000.0
496,A. Ljajić,52000.0,17500000.0,17448000.0
497,Canales,30000.0,15500000.0,15470000.0
498,Iago Falqué,59000.0,15000000.0,14941000.0
499,L. de Jong,23000.0,16000000.0,15977000.0
500,Guaita,48000.0,9000000.0,8952000.0
501,Muniain,31000.0,18500000.0,18469000.0
502,Susaeta,33000.0,14000000.0,13967000.0
503,S. Rudy,37000.0,12000000.0,11963000.0
504,K. Trapp,61000.0,11500000.0,11439000.0
505,V. Wanyama,86000.0,14500000.0,14414000.0
506,N. Nkoulou,50000.0,12000000.0,11950000.0
507,R. Boudebouz,31000.0,15000000.0,14969000.0
508,Camacho,51000.0,13500000.0,13449000.0
509,S. Ulreich,61000.0,10000000.0,9939000.0
510,M. Musacchio,85000.0,12500000.0,12415000.0
511,C. Stuani,41000.0,13500000.0,13459000.0
512,P. Gulácsi,45000.0,10500000.0,10455000.0
513,Bruno,39000.0,7000000.0,6961000.0
514,F. Delph,120000.0,11500000.0,11380000.0
515,A. Lallana,110000.0,13500000.0,13390000.0
516,Marcelo,64000.0,10000000.0,9936000.0
517,S. Coleman,97000.0,11000000.0,10903000.0
518,Alexandre Pato,35000.0,15500000.0,15465000.0
519,Antunes,27000.0,9500000.0,9473000.0
520,Nacho Monreal,99000.0,8000000.0,7901000.0
521,Beñat,30000.0,12500000.0,12470000.0
522,A. Fernández,20000.0,11000000.0,10980000.0
523,K. Gameiro,45000.0,13500000.0,13455000.0
524,I. Piatti,13000.0,9000000.0,8987000.0
525,V. Birsa,23000.0,13000000.0,12977000.0
526,S. Romero,91000.0,9000000.0,8909000.0
527,D. Criscito,21000.0,10000000.0,9979000.0
528,D. Valeri,12000.0,11500000.0,11488000.0
529,D. Sturridge,125000.0,15500000.0,15375000.0
530,Raúl García,30000.0,13000000.0,12970000.0
531,S. Defour,65000.0,13500000.0,13435000.0
